ID,Type of MB,Compound abbreviation,Types of contaminants,pH,Compound Mw (g/mol),Compound charge,Compound Kow,min projection (A),max projection (A),MB MWCO (Da),MB contact angle,MB zeta potential,Total charge,Pressure (kPa),Measurement time (min),Initial concentration of compound (mg/L),compound size (nm),removal rate (%),reference,MWCO ref,MB contact angle ref,MB zeta potential ref,mem_material
1,AK,22BET,2-(2-Butoxyethoxy)ethanol,7,162.229,0,0.711,3.25,8.08,150,50,-1,0,800,10,0.16223,0.512,81.59,Removal of organic contaminants by RO and NF membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,PA
2,AK,CPL,Caprolactam,7,113.16,0,0.31,3.92,4.01,150,50,-1,0,800,10,0.11316,0.396,82.85,Removal of organic contaminants by RO and NF membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,PA
3,AK,CTN,Creatine,7,131.135,0,-2.864,3.35,4.36,150,50,-1,0,800,10,0.13114,0.382,96.65,Removal of organic contaminants by RO and NF membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,PA
4,AK,FAH,Formaldehyde,7,30.026,0,-0.467,2.08,2.34,150,50,-1,0,800,10,0.03003,0.221,3.35,Removal of organic contaminants by RO and NF membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,PA
5,AK,IPP,Isopropanol,7,60.096,0,0.255,2.95,3.36,150,50,-1,0,800,10,0.0601,0.315,65.27,Removal of organic contaminants by RO and NF membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,PA
6,AK,MTN,Methanol,7,32.042,0,-0.519,2.2,2.62,150,50,-1,0,800,10,0.03204,0.24,3.77,Removal of organic contaminants by RO and NF membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,PA
7,AK,UREA,Urea,7,60.056,0,-1.364,2.87,3.19,150,50,-1,0,800,10,0.06006,0.303,17.16,Removal of organic contaminants by RO and NF membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,PA
8,BW30,17AED,17alpha-Ethynilestradiol,7,296.41,0,4.33,4.44,7.2,100,76,-1,0,2000,10,1.48205,0.565,98.52,Comparison of flux behavior and synthetic organic compound removal by forward osmosis and reverse osmosis membranes,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,Use of Reverse Osmosis Membranes to Remove Perfluorooctane Sulfonate (PFOS) from Semiconductor Wastewater,PA
9,BW30,4CPN,4-Chlorophenol,7,128.56,-0.0108,2.274,3.39,4.57,100,76,-1,0.0108,2000,10,0.6428,0.394,82.76,Comparison of flux behavior and synthetic organic compound removal by forward osmosis and reverse osmosis membranes,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,Use of Reverse Osmosis Membranes to Remove Perfluorooctane Sulfonate (PFOS) from Semiconductor Wastewater,PA
10,BW30,ACT,Acetaminophen,4,151.165,0,0.907,3.49,5.67,100,59.8,-1,0,1000,10,0.5,0.445,92.59,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
11,BW30,ACT,Acetaminophen,5,151.165,0,0.907,3.49,5.67,100,59.8,-1,0,1000,10,0.5,0.445,93.78,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
12,BW30,ACT,Acetaminophen,7,151.165,0,0.907,3.49,5.67,100,59.8,-1,0,1000,10,0.5,0.445,89.53,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
13,BW30,ACT,Acetaminophen,4,151.165,0,0.907,3.49,5.67,100,59.8,-1,0,1500,10,0.5,0.445,94.89,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
14,BW30,ACT,Acetaminophen,5,151.165,0,0.907,3.49,5.67,100,59.8,-1,0,1500,10,0.5,0.445,96.99,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
15,BW30,ACT,Acetaminophen,7,151.165,0,0.907,3.49,5.67,100,59.8,-1,0,1500,10,0.5,0.445,90.66,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
16,BW30,ACT,Acetaminophen,4,151.165,0,0.907,3.49,5.67,100,59.8,-1,0,2000,10,0.5,0.445,94.33,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
17,BW30,ACT,Acetaminophen,5,151.165,0,0.907,3.49,5.67,100,59.8,-1,0,2000,10,0.5,0.445,95.95,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
18,BW30,ACT,Acetaminophen,7,151.165,0,0.907,3.49,5.67,100,59.8,-1,0,2000,10,0.5,0.445,89.93,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
19,BW30,ACT,Acetaminophen,4,151.165,0,0.907,3.49,5.67,100,59.8,-1,0,3000,10,0.5,0.445,92.69,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
20,BW30,ACT,Acetaminophen,5,151.165,0,0.907,3.49,5.67,100,59.8,-1,0,3000,10,0.5,0.445,93.69,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
21,BW30,ACT,Acetaminophen,7,151.165,0,0.907,3.49,5.67,100,59.8,-1,0,3000,10,0.5,0.445,89.56,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
22,BW30,ATZ,Atrazine,7,215.69,0,2.198,4.79,6.36,100,76,-1,0,2000,10,1.07845,0.552,96.06,Comparison of flux behavior and synthetic organic compound removal by forward osmosis and reverse osmosis membranes,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,Use of Reverse Osmosis Membranes to Remove Perfluorooctane Sulfonate (PFOS) from Semiconductor Wastewater,PA
23,BW30,CAF,Caffeine,4,194.194,0,-0.546,4.44,5.03,100,59.8,-1,0,1000,10,0.5,0.473,95.51,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
24,BW30,CAF,Caffeine,5,194.194,0,-0.546,4.44,5.03,100,59.8,-1,0,1000,10,0.5,0.473,94.72,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
25,BW30,CAF,Caffeine,7,194.194,0,-0.546,4.44,5.03,100,59.8,-1,0,1000,10,0.5,0.473,86.57,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
26,BW30,CAF,Caffeine,4,194.194,0,-0.546,4.44,5.03,100,59.8,-1,0,1500,10,0.5,0.473,99.9,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
27,BW30,CAF,Caffeine,5,194.194,0,-0.546,4.44,5.03,100,59.8,-1,0,1500,10,0.5,0.473,94.34,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
28,BW30,CAF,Caffeine,7,194.194,0,-0.546,4.44,5.03,100,59.8,-1,0,1500,10,0.5,0.473,93.56,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
29,BW30,CAF,Caffeine,4,194.194,0,-0.546,4.44,5.03,100,59.8,-1,0,2000,10,0.5,0.473,96.1,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
30,BW30,CAF,Caffeine,5,194.194,0,-0.546,4.44,5.03,100,59.8,-1,0,2000,10,0.5,0.473,94.66,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
31,BW30,CAF,Caffeine,7,194.194,0,-0.546,4.44,5.03,100,59.8,-1,0,2000,10,0.5,0.473,93.93,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
32,BW30,CAF,Caffeine,4,194.194,0,-0.546,4.44,5.03,100,59.8,-1,0,3000,10,0.5,0.473,95.48,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
33,BW30,CAF,Caffeine,5,194.194,0,-0.546,4.44,5.03,100,59.8,-1,0,3000,10,0.5,0.473,94.79,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
34,BW30,CAF,Caffeine,7,194.194,0,-0.546,4.44,5.03,100,59.8,-1,0,3000,10,0.5,0.473,86.61,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
35,BW30,CBP,Carbamazepine,7,236.274,0,2.766,4.48,5.76,100,76,-1,0,2000,10,1.18137,0.508,95.57,Comparison of flux behavior and synthetic organic compound removal by forward osmosis and reverse osmosis membranes,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,Use of Reverse Osmosis Membranes to Remove Perfluorooctane Sulfonate (PFOS) from Semiconductor Wastewater,PA
36,BW30,DCF,Diclofenac,5,296.15,-0.9099,4.259,4.62,6.34,100,59.8,-1,0.9099,1000,10,0.5,0.541,99.26,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
37,BW30,DCF,Diclofenac,7,296.15,-1,4.259,4.62,6.34,100,59.8,-1,1,1000,10,0.5,0.541,99.26,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
